keyword,city,topic,subtopic
"best hotels in New York","New York","best","business travelers"
"cheap hotels in New York near airport","New York","cheap","families"
"luxury hotels in London shopping","London","luxury","shopping tourists"
"family friendly hotels in Paris near attractions","Paris","family","near Eiffel Tower"
"budget hotels in Tokyo Shinjuku","Tokyo","cheap","backpackers"
"best hotels in Rome historic center","Rome","best","tourists"
"cheap hotels in Barcelona Sagrada Familia","Barcelona","cheap","sightseers"
"luxury hotels in Sydney Opera House area","Sydney","luxury","couples"
"family friendly hotels in Berlin Zoo","Berlin","family","with kids"
"best hotels in Las Vegas Strip","Las Vegas","best","weekend trips"
